,City Name,Hotel Name,Overall Ratings ,Hotel Comments,individual ratings
3611,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Quite OK if looking for a shower and a bed to sleep.,5
3612,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,5 stars,10
3613,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Exceptional,10
3614,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Very Good,8
3615,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Spacious apartment but watch out for the hidden charges!,7
3616,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Exceptional,10
3617,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Exceptional,10
3618,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Worst experience in KL,1
3619,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Disappointing,4
3620,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Amazing,10
3621,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Very Good,8
3622,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Not worth the pay for this service.,2
3623,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Good,7
3624,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Exceptional,10
3625,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Very Good,8
3626,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Exceptional,10
3627,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Very Good,8
3628,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Pleasant,6
3629,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Bad,1
3630,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Wonderful,9
3631,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Very Good,8
3632,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,A good place for LDR husband and wife.,10
3633,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Pleasant,6
3634,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Disappointing,4
3635,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Wonderful,9
3636,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Satisfied,9
3637,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Very Good,8
3638,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,"Good stay, built-in furniture showing sign of wear and tear and need fixing.",8
3639,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Exceptional,10
3640,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Loft,10
3641,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,just ok,7
3642,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Exceptional,10
3643,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Exceptional,10
3644,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Exceptional,10
3645,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Very Poor,2
3646,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Exceptional,10
3647,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Very Good,8
3648,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Very Good,8
3649,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,We really enjoyed our stay .,9
3650,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Very Good,8
3651,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Pleasant,6
3652,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Exceptional,10
3653,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Exceptional,10
3654,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Very Good,8
3655,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Fantastic,10
3656,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Very Good,8
3657,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Exceptional,10
3658,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Good,7
3659,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Exceptional,10
3660,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Good,7
3661,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Exceptional,10
3662,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Wonderful,9
3663,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Exceptional,10
3664,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Very Good,8
